date,calories
6/3/2014,1444
6/4/2014,2214
6/5/2014,2244
6/6/2014,2091
6/7/2014,1434
6/8/2014,1777
6/9/2014,1391
6/10/2014,2176
6/11/2014,2454
6/12/2014,1927
6/13/2014,1477
6/14/2014,1739
6/15/2014,1972
6/16/2014,2255
6/17/2014,2319
6/18/2014,1651
6/19/2014,2387
6/20/2014,2380
6/21/2014,1511
6/22/2014,2269
6/23/2014,2412
6/24/2014,2274
6/25/2014,2402
6/26/2014,2337
6/27/2014,1515
6/28/2014,2031
6/29/2014,1658
6/30/2014,2080
7/1/2014,1997
7/2/2014,2116
7/3/2014,2149
7/4/2014,1660
7/5/2014,1713
7/6/2014,2213
7/7/2014,1853
7/8/2014,1664
7/9/2014,1709
7/10/2014,1429
7/11/2014,2417
7/12/2014,2403
7/13/2014,1774
7/14/2014,2041
7/15/2014,1846
7/16/2014,2102
7/17/2014,1564
7/18/2014,2049
7/19/2014,2442
7/20/2014,1737
7/21/2014,2004
7/22/2014,1449
7/23/2014,2043
7/24/2014,1756
7/25/2014,2115
7/26/2014,1689
7/27/2014,1475
7/28/2014,2123
7/29/2014,2295
7/30/2014,1855
7/31/2014,1514
8/1/2014,1708
8/2/2014,1849
8/3/2014,2206
8/4/2014,1917
8/5/2014,1603
8/6/2014,1776
8/7/2014,2142
8/8/2014,1618
8/9/2014,1390
8/10/2014,1428
8/11/2014,2151
8/12/2014,2239
8/13/2014,1348
8/14/2014,2273
8/15/2014,2154
8/16/2014,1899
8/17/2014,2104
8/18/2014,2329
8/19/2014,2161
8/20/2014,2072
8/21/2014,1501
8/22/2014,2130
8/23/2014,1910
8/24/2014,1889
8/25/2014,1389
8/26/2014,2143
8/27/2014,1692
8/28/2014,1762
8/29/2014,2368
8/30/2014,1479
8/31/2014,1899
9/1/2014,1394
9/2/2014,2260
9/3/2014,2396
9/4/2014,2137
9/5/2014,1783
9/6/2014,1808
9/7/2014,1801
9/8/2014,1839
9/9/2014,1820
9/10/2014,2315
9/11/2014,2138
9/12/2014,1634
9/13/2014,1869
9/14/2014,1548
9/15/2014,2083
9/16/2014,1941
9/17/2014,1750
9/18/2014,2051
9/19/2014,2095
9/20/2014,1401
9/21/2014,2357
9/22/2014,1825
9/23/2014,2144
9/24/2014,1485
9/25/2014,1488
9/26/2014,2258
9/27/2014,1700
9/28/2014,1787
9/29/2014,2023
9/30/2014,1693
10/1/2014,2353
10/2/2014,1510
10/3/2014,2423
10/4/2014,1645
10/5/2014,1824
10/6/2014,2080
10/7/2014,1588
10/8/2014,1572
10/9/2014,1751
10/10/2014,2042
10/11/2014,1905
10/12/2014,1458
10/13/2014,2418
10/14/2014,1703
10/15/2014,2406
10/16/2014,1512
10/17/2014,1439
10/18/2014,1544
10/19/2014,1530
10/20/2014,1526
10/21/2014,2150
10/22/2014,1454
10/23/2014,2324
10/24/2014,2021
10/25/2014,1352
10/26/2014,2379
10/27/2014,1818
10/28/2014,1589
10/29/2014,2137
10/30/2014,1639
10/31/2014,1704
11/1/2014,1573
11/2/2014,2045
11/3/2014,2170
11/4/2014,2451
11/5/2014,2003
11/6/2014,2393
11/7/2014,2243
11/8/2014,1887
11/9/2014,1572
11/10/2014,1831
11/11/2014,2380
11/12/2014,2341
11/13/2014,2426
11/14/2014,1984
11/15/2014,1952
11/16/2014,2395
11/17/2014,1732
11/18/2014,1825
11/19/2014,1366
11/20/2014,2455
11/21/2014,1405
11/22/2014,2076
11/23/2014,2118
11/24/2014,1565
11/25/2014,2141
11/26/2014,1803
11/27/2014,1662
11/28/2014,1951
11/29/2014,1646
11/30/2014,2042
12/1/2014,1432
12/2/2014,1370
12/3/2014,1537
