date,calories
6/3/2014,1485
6/4/2014,1960
6/5/2014,1274
6/6/2014,1935
6/7/2014,1773
6/8/2014,1840
6/9/2014,1998
6/10/2014,1600
6/11/2014,1075
6/12/2014,1253
6/13/2014,1977
6/14/2014,1720
6/15/2014,1911
6/16/2014,1228
6/17/2014,1907
6/18/2014,1695
6/19/2014,1384
6/20/2014,1089
6/21/2014,1787
6/22/2014,2021
6/23/2014,1401
6/24/2014,1819
6/25/2014,1808
6/26/2014,1865
6/27/2014,1703
6/28/2014,1912
6/29/2014,1470
6/30/2014,1507
7/1/2014,1508
7/2/2014,1443
7/3/2014,2016
7/4/2014,1933
7/5/2014,1678
7/6/2014,1222
7/7/2014,1999
7/8/2014,1794
7/9/2014,1616
7/10/2014,1275
7/11/2014,1697
7/12/2014,1589
7/13/2014,1027
7/14/2014,1078
7/15/2014,1999
7/16/2014,1345
7/17/2014,1903
7/18/2014,1298
7/19/2014,1459
7/20/2014,1745
7/21/2014,1881
7/22/2014,1322
7/23/2014,1165
7/24/2014,1483
7/25/2014,1350
7/26/2014,1284
7/27/2014,1789
7/28/2014,1648
7/29/2014,1539
7/30/2014,1896
7/31/2014,1877
8/1/2014,1022
8/2/2014,1193
8/3/2014,1228
8/4/2014,1908
8/5/2014,1136
8/6/2014,1389
8/7/2014,1134
8/8/2014,1310
8/9/2014,1935
8/10/2014,1599
8/11/2014,1619
8/12/2014,1179
8/13/2014,1023
8/14/2014,1491
8/15/2014,1349
8/16/2014,1236
8/17/2014,1524
8/18/2014,1611
8/19/2014,1937
8/20/2014,1520
8/21/2014,1150
8/22/2014,1744
8/23/2014,1180
8/24/2014,1549
8/25/2014,1600
8/26/2014,2013
8/27/2014,1229
8/28/2014,1881
8/29/2014,1898
8/30/2014,1093
8/31/2014,1408
9/1/2014,1426
9/2/2014,1112
9/3/2014,1895
9/4/2014,1255
9/5/2014,1299
9/6/2014,2014
9/7/2014,1939
9/8/2014,1579
9/9/2014,1557
9/10/2014,1436
9/11/2014,1173
9/12/2014,1795
9/13/2014,1527
9/14/2014,1652
9/15/2014,1232
9/16/2014,1644
9/17/2014,1119
9/18/2014,1427
9/19/2014,1124
9/20/2014,1240
9/21/2014,1977
9/22/2014,1366
9/23/2014,1790
9/24/2014,2012
9/25/2014,1895
9/26/2014,1743
9/27/2014,1369
9/28/2014,1368
9/29/2014,1820
9/30/2014,1215
10/1/2014,1974
10/2/2014,1013
10/3/2014,1352
10/4/2014,1720
10/5/2014,1311
10/6/2014,1826
10/7/2014,1369
10/8/2014,1432
10/9/2014,1996
10/10/2014,1251
10/11/2014,1332
10/12/2014,1897
10/13/2014,1188
10/14/2014,1755
10/15/2014,1368
10/16/2014,1235
10/17/2014,1981
10/18/2014,1859
10/19/2014,1091
10/20/2014,1168
10/21/2014,1926
10/22/2014,1350
10/23/2014,1508
10/24/2014,1828
10/25/2014,1772
10/26/2014,2016
10/27/2014,1078
10/28/2014,1514
10/29/2014,1955
10/30/2014,1893
10/31/2014,1615
11/1/2014,1997
11/2/2014,1487
11/3/2014,1953
11/4/2014,1044
11/5/2014,1051
11/6/2014,1588
11/7/2014,1981
11/8/2014,1344
11/9/2014,1983
11/10/2014,1974
11/11/2014,1209
11/12/2014,1140
11/13/2014,1237
11/14/2014,1588
11/15/2014,1925
11/16/2014,1697
11/17/2014,1802
11/18/2014,1117
11/19/2014,1003
11/20/2014,1111
11/21/2014,1922
11/22/2014,1149
11/23/2014,1777
11/24/2014,1764
11/25/2014,1986
11/26/2014,1521
11/27/2014,1104
11/28/2014,1436
11/29/2014,1258
11/30/2014,1443
12/1/2014,1143
12/2/2014,1390
12/3/2014,1670
